id,hub,zcta,state,latitude,longitude,predicted_pressure,predicted_risk,owner_households,renter_households,owner_yoy_pct,renter_yoy_pct,housing_units_yoy_pct,median_rent_usd
29384-2024,ZCTA 29384,29384,US,34.340252,-82.090181,101.00790477459208,OK,1424,194,7.39,-20.82,-1.63,646.0
28125-2024,ZCTA 28125,28125,US,35.659025,-80.698613,101.00701677787144,OK,949,96,7.72,-23.81,-0.51,1149.0
67464-2024,ZCTA 67464,67464,US,38.55862,-97.897299,101.00441293016104,OK,406,53,-2.64,-11.67,-7.03,725.0
12463-2024,ZCTA 12463,12463,US,42.191625,-74.009276,100.99095389576092,OK,485,129,-13.55,-22.29,-9.33,1008.0
27022-2024,ZCTA 27022,27022,US,36.512166,-80.215604,100.9864421860095,OK,402,86,11.98,-33.85,7.33,754.0
38451-2024,ZCTA 38451,38451,US,35.460534,-86.992239,100.98297475428015,OK,1613,105,8.33,-22.22,6.41,1099.0
13469-2024,ZCTA 13469,13469,US,43.214828,-75.302367,100.97975911142453,OK,271,47,-31.04,-2.08,-27.89,1163.0
15362-2024,ZCTA 15362,15362,US,39.757355,-80.214428,100.97628165567228,OK,219,34,-5.19,-17.07,-2.65,519.0
43768-2024,ZCTA 43768,43768,US,40.037761,-81.444709,100.96670526920481,OK,52,35,-35.0,-23.91,-24.68,1258.0
62538-2024,ZCTA 62538,62538,US,39.356306,-89.520465,100.9640670125856,OK,88,29,-33.83,-9.38,-26.67,759.0
05445-2024,ZCTA 05445,5445,US,44.305737,-73.235553,100.96353137526081,OK,1725,82,4.17,-16.33,0.0,1738.0
97538-2024,ZCTA 97538,97538,US,42.314375,-123.667583,100.95986324713081,OK,662,99,4.42,-24.43,1.45,788.0
14731-2024,ZCTA 14731,14731,US,42.307351,-78.655503,100.95585088622633,OK,488,115,12.18,-18.44,-1.52,774.0
16022-2024,ZCTA 16022,16022,US,41.054553,-79.733232,100.95106221420718,OK,77,29,-12.5,-30.95,-17.45,806.0
61421-2024,ZCTA 61421,61421,US,41.187535,-89.647909,100.94130583251734,OK,416,78,0.73,-28.44,-0.36,841.0
35135-2024,ZCTA 35135,35135,US,33.628093,-86.195731,100.9354383159199,OK,532,135,-6.34,-28.19,-10.62,1268.0
82639-2024,ZCTA 82639,82639,US,43.738005,-106.695553,100.93172310926674,OK,335,20,16.32,-20.0,-2.63,1107.0
18220-2024,ZCTA 18220,18220,US,40.837296,-76.081511,100.92596003614605,OK,84,9,-6.67,-10.0,11.45,875.0
62612-2024,ZCTA 62612,62612,US,39.896048,-90.063158,100.92317186113485,OK,510,94,-8.27,-17.54,-7.63,585.0
52155-2024,ZCTA 52155,52155,US,43.412758,-92.295716,100.91612709836659,OK,402,47,-1.47,-16.07,-1.04,702.0
40060-2024,ZCTA 40060,40060,US,37.542332,-85.466267,100.91160776718412,OK,391,59,-11.14,-14.49,-12.29,685.0
39336-2024,ZCTA 39336,39336,US,32.300601,-89.2622,100.91039553578247,OK,479,50,22.19,-32.43,5.1,734.0
27842-2024,ZCTA 27842,27842,US,36.526749,-77.851988,100.90940326258178,OK,725,36,13.1,-16.28,0.93,788.0
49309-2024,ZCTA 49309,49309,US,43.759789,-85.876901,100.90497134281597,OK,779,70,11.13,-17.65,0.05,950.0
03227-2024,ZCTA 03227,3227,US,43.817193,-71.460578,100.90434137806353,OK,671,53,3.55,-17.19,-0.59,1571.0
45659-2024,ZCTA 45659,45659,US,38.654972,-82.64113,100.88988560543415,OK,723,150,-6.71,-19.79,-7.04,828.0
46049-2024,ZCTA 46049,46049,US,40.295013,-86.22179,100.88818894621667,OK,274,33,-24.1,3.12,-21.94,829.0
62447-2024,ZCTA 62447,62447,US,39.313232,-88.444715,100.88643935457684,OK,1089,153,4.11,-24.63,1.84,941.0
06791-2024,ZCTA 06791,6791,US,41.761345,-73.060443,100.88490888619889,OK,2007,151,1.21,-17.49,-1.76,1504.0
87535-2024,ZCTA 87535,87535,US,35.566771,-105.747189,100.8848515539404,OK,573,142,-14.48,-20.22,-16.1,1325.0
78850-2024,ZCTA 78850,78850,US,29.285285,-99.329182,100.86590914105871,OK,248,38,21.57,-35.59,6.44,1175.0
56169-2024,ZCTA 56169,56169,US,44.332053,-96.011095,100.86060914675943,OK,295,25,9.26,-24.24,5.44,589.0
16235-2024,ZCTA 16235,16235,US,41.30579,-79.347387,100.85878600620717,OK,515,50,-6.87,-10.71,-5.51,738.0
24983-2024,ZCTA 24983,24983,US,37.596051,-80.506452,100.85221452078261,OK,639,95,1.27,-20.83,-2.58,615.0
73738-2024,ZCTA 73738,73738,US,36.439255,-97.558448,100.85136880895718,OK,308,44,6.57,-26.67,1.15,931.0
58762-2024,ZCTA 58762,58762,US,48.673209,-100.940087,100.84860433422847,OK,56,19,-16.42,-20.83,-12.71,485.0
20759-2024,ZCTA 20759,20759,US,39.153977,-76.931171,100.84337690208075,OK,1915,78,-1.29,-14.29,-1.23,3501.0
14477-2024,ZCTA 14477,14477,US,43.335707,-78.133393,100.82846554011272,OK,582,65,-1.19,-15.58,-0.24,718.0
27040-2024,ZCTA 27040,27040,US,36.169312,-80.393045,100.8233967441799,OK,4506,331,3.51,-18.07,-0.11,1514.0
