id,hub,zcta,state,latitude,longitude,risk,volume,demand_index,owner_households,renter_households,owner_share_pct,renter_share_pct,owner_yoy_pct,renter_yoy_pct,housing_units_yoy_pct,median_rent_usd,source
81027-2024,ZCTA 81027,81027,US,37.24667,-103.723163,STOCKOUT_RISK,40,204.28,43,26,40.57,24.53,-15.69,188.89,2.91,775.0,ACS DP04 + ACS5 (national)
49927-2024,ZCTA 49927,49927,US,46.03306,-88.547007,STOCKOUT_RISK,40,203.56,135,11,57.45,4.68,4.65,175.0,16.92,685.0,ACS DP04 + ACS5 (national)
14543-2024,ZCTA 14543,14543,US,42.983831,-77.678535,STOCKOUT_RISK,70,201.98,1337,129,91.2,8.8,1.21,174.47,6.31,1294.0,ACS DP04 + ACS5 (national)
97901-2024,ZCTA 97901,97901,US,43.589056,-117.098305,STOCKOUT_RISK,40,200.38,262,108,67.35,27.76,23.58,145.45,30.1,923.0,ACS DP04 + ACS5 (national)
99791-2024,ZCTA 99791,99791,US,70.480786,-157.325459,STOCKOUT_RISK,40,199.59,34,45,41.46,54.88,112.5,66.67,67.35,1000.0,ACS DP04 + ACS5 (national)
30746-2024,ZCTA 30746,30746,US,34.592095,-85.032872,STOCKOUT_RISK,40,199.42,421,48,89.77,10.23,-11.55,182.35,-4.87,1130.0,ACS DP04 + ACS5 (national)
79544-2024,ZCTA 79544,79544,US,33.293231,-99.858473,STOCKOUT_RISK,40,199.04,116,20,56.59,9.76,-15.94,185.71,-2.84,700.0,ACS DP04 + ACS5 (national)
43553-2024,ZCTA 43553,43553,US,41.530662,-84.217907,STOCKOUT_RISK,40,198.53,99,37,66.89,25.0,-22.66,184.62,-3.9,918.0,ACS DP04 + ACS5 (national)
99552-2024,ZCTA 99552,99552,US,60.910742,-161.217154,STOCKOUT_RISK,40,196.89,62,26,67.39,28.26,26.53,136.36,37.31,492.0,ACS DP04 + ACS5 (national)
99739-2024,ZCTA 99739,99739,US,64.968364,-162.827027,STOCKOUT_RISK,40,196.59,74,27,52.86,19.29,37.04,125.0,47.37,1125.0,ACS DP04 + ACS5 (national)
46301-2024,ZCTA 46301,46301,US,41.691837,-86.973274,STOCKOUT_RISK,40,196.39,334,13,61.06,2.38,7.4,160.0,7.25,1675.0,ACS DP04 + ACS5 (national)
12207-2024,ZCTA 12207,12207,US,42.655489,-73.747618,STOCKOUT_RISK,77,196.22,55,1324,3.33,80.15,223.53,4.17,6.37,1331.0,ACS DP04 + ACS5 (national)
75164-2024,ZCTA 75164,75164,US,33.075574,-96.303404,STOCKOUT_RISK,40,196.15,226,27,82.48,9.85,15.9,145.45,24.55,1792.0,ACS DP04 + ACS5 (national)
71663-2024,ZCTA 71663,71663,US,33.226443,-91.429483,STOCKOUT_RISK,40,196.03,171,79,63.33,29.26,-7.07,163.33,15.38,625.0,ACS DP04 + ACS5 (national)
51101-2024,ZCTA 51101,51101,US,42.493688,-96.394184,STOCKOUT_RISK,40,194.96,22,618,2.79,78.43,214.29,9.96,8.99,708.0,ACS DP04 + ACS5 (national)
72845-2024,ZCTA 72845,72845,US,35.36165,-93.377876,STOCKOUT_RISK,40,194.43,422,58,81.15,11.15,11.64,152.17,14.29,933.0,ACS DP04 + ACS5 (national)
66419-2024,ZCTA 66419,66419,US,39.360679,-95.598882,STOCKOUT_RISK,40,192.95,151,53,66.23,23.25,16.15,140.91,21.93,898.0,ACS DP04 + ACS5 (national)
51540-2024,ZCTA 51540,51540,US,41.024322,-95.498233,STOCKOUT_RISK,40,192.36,110,31,53.14,14.98,20.88,138.46,18.29,1309.0,ACS DP04 + ACS5 (national)
