id,hub,zcta,state,latitude,longitude,risk,volume,demand_index,owner_households,renter_households,owner_share_pct,renter_share_pct,owner_yoy_pct,renter_yoy_pct,housing_units_yoy_pct,median_rent_usd,source
24161-2024,ZCTA 24161,24161,US,36.978085,-79.529113,STOCKOUT_RISK,53,732.67,107,99,34.97,32.35,-13.01,1137.5,21.91,1119.0,ACS DP04 + ACS5 (national)
93238-2024,ZCTA 93238,93238,US,35.850772,-118.49771,STOCKOUT_RISK,150,649.47,484,97,49.59,9.94,10.5,977.78,12.83,1691.0,ACS DP04 + ACS5 (national)
12960-2024,ZCTA 12960,12960,US,44.015756,-73.572348,STOCKOUT_RISK,85,608.46,422,91,71.77,15.48,-4.31,911.11,23.27,850.0,ACS DP04 + ACS5 (national)
57246-2024,ZCTA 57246,57246,US,45.054908,-96.666981,STOCKOUT_RISK,40,530.05,50,9,75.76,13.64,-28.57,800.0,-15.38,506.0,ACS DP04 + ACS5 (national)
39057-2024,ZCTA 39057,39057,US,32.490854,-89.284427,STOCKOUT_RISK,103,445.01,786,93,80.45,9.52,5.36,615.38,11.02,474.0,ACS DP04 + ACS5 (national)
78719-2024,ZCTA 78719,78719,US,30.1393,-97.673092,STOCKOUT_RISK,66,424.72,483,102,73.52,15.53,-7.29,580.0,10.61,1656.0,ACS DP04 + ACS5 (national)
63785-2024,ZCTA 63785,63785,US,37.266837,-89.822215,STOCKOUT_RISK,55,393.95,422,37,71.28,6.25,6.3,516.67,20.57,1079.0,ACS DP04 + ACS5 (national)
37340-2024,ZCTA 37340,37340,US,35.021988,-85.519895,STOCKOUT_RISK,40,389.2,113,85,42.32,31.84,-4.24,507.14,30.24,522.0,ACS DP04 + ACS5 (national)
45650-2024,ZCTA 45650,45650,US,38.738293,-83.422328,STOCKOUT_RISK,40,389.12,124,74,39.12,23.34,-8.82,516.67,14.44,786.0,ACS DP04 + ACS5 (national)
24731-2024,ZCTA 24731,24731,US,37.397354,-81.151631,STOCKOUT_RISK,40,388.65,20,51,28.17,71.83,0.0,325.0,491.67,628.0,ACS DP04 + ACS5 (national)
84315-2024,ZCTA 84315,84315,US,41.167508,-112.137773,STOCKOUT_RISK,265,385.63,2690,97,92.85,3.35,0.67,506.25,5.19,2269.0,ACS DP04 + ACS5 (national)
52756-2024,ZCTA 52756,52756,US,41.729113,-90.54159,STOCKOUT_RISK,69,379.79,656,77,85.64,10.05,6.84,492.31,15.71,865.0,ACS DP04 + ACS5 (national)
50567-2024,ZCTA 50567,50567,US,42.523753,-95.08084,STOCKOUT_RISK,40,377.98,74,42,52.86,30.0,-17.78,500.0,15.7,776.0,ACS DP04 + ACS5 (national)
96848-2024,ZCTA 96848,96848,US,21.301329,-157.814276,STOCKOUT_RISK,40,332.94,0,19,0.0,52.78,0.0,375.0,89.47,587.0,ACS DP04 + ACS5 (national)
28442-2024,ZCTA 28442,28442,US,34.310175,-78.601091,STOCKOUT_RISK,64,331.62,504,95,61.61,11.61,11.5,400.0,19.77,839.0,ACS DP04 + ACS5 (national)
15686-2024,ZCTA 15686,15686,US,40.615013,-79.437107,STOCKOUT_RISK,40,325.55,427,56,81.02,10.63,-7.97,409.09,-0.57,818.0,ACS DP04 + ACS5 (national)
58001-2024,ZCTA 58001,58001,US,46.448366,-96.740812,STOCKOUT_RISK,40,321.87,100,5,86.21,4.31,-0.99,400.0,1.75,525.0,ACS DP04 + ACS5 (national)
70836-2024,ZCTA 70836,70836,US,30.387574,-91.083564,STOCKOUT_RISK,40,312.66,64,243,14.65,55.61,611.11,-22.12,-2.24,1498.0,ACS DP04 + ACS5 (national)
51447-2024,ZCTA 51447,51447,US,41.721032,-95.191945,STOCKOUT_RISK,40,307.61,32,20,39.02,24.39,-44.83,400.0,-14.58,1167.0,ACS DP04 + ACS5 (national)
08023-2024,ZCTA 08023,08023,US,39.688108,-75.496899,STOCKOUT_RISK,40,305.86,54,92,36.99,63.01,-27.03,360.0,16.8,2141.0,ACS DP04 + ACS5 (national)
19980-2024,ZCTA 19980,19980,US,39.073522,-75.570169,STOCKOUT_RISK,40,299.38,72,37,59.5,30.58,26.32,311.11,63.51,866.0,ACS DP04 + ACS5 (national)
29849-2024,ZCTA 29849,29849,US,33.103626,-81.238347,STOCKOUT_RISK,40,296.49,82,12,67.77,9.92,46.43,300.0,49.38,1656.0,ACS DP04 + ACS5 (national)
42722-2024,ZCTA 42722,42722,US,37.276586,-85.716132,STOCKOUT_RISK,40,295.98,106,111,48.85,51.15,-9.4,344.0,8.5,504.0,ACS DP04 + ACS5 (national)
40941-2024,ZCTA 40941,40941,US,37.130055,-83.745555,STOCKOUT_RISK,40,295.98,25,106,19.08,80.92,0.0,278.57,147.17,833.0,ACS DP04 + ACS5 (national)
56729-2024,ZCTA 56729,56729,US,48.669158,-96.593617,STOCKOUT_RISK,40,290.7,36,9,66.67,16.67,-14.29,350.0,-3.57,658.0,ACS DP04 + ACS5 (national)
62972-2024,ZCTA 62972,62972,US,37.540668,-88.816118,STOCKOUT_RISK,49,288.78,382,39,52.69,5.38,0.26,333.33,6.93,1338.0,ACS DP04 + ACS5 (national)
51056-2024,ZCTA 51056,51056,US,42.241293,-95.956396,STOCKOUT_RISK,40,286.08,160,13,84.21,6.84,-0.62,333.33,2.15,658.0,ACS DP04 + ACS5 (national)
77873-2024,ZCTA 77873,77873,US,30.582632,-95.800538,STOCKOUT_RISK,45,284.89,471,60,69.88,8.9,0.21,328.57,1.05,1101.0,ACS DP04 + ACS5 (national)
17867-2024,ZCTA 17867,17867,US,40.714661,-76.690322,STOCKOUT_RISK,40,282.86,57,13,73.08,16.67,-16.18,333.33,-1.27,1297.0,ACS DP04 + ACS5 (national)
95007-2024,ZCTA 95007,95007,US,37.110125,-122.114345,STOCKOUT_RISK,40,280.13,37,149,13.26,53.41,-72.79,338.24,36.1,2034.0,ACS DP04 + ACS5 (national)
44418-2024,ZCTA 44418,44418,US,41.306912,-80.60462,STOCKOUT_RISK,43,279.94,526,57,79.7,8.64,12.88,307.14,17.86,718.0,ACS DP04 + ACS5 (national)
75448-2024,ZCTA 75448,75448,US,33.316269,-95.788968,STOCKOUT_RISK,40,275.54,253,74,63.89,18.69,15.0,289.47,26.52,1315.0,ACS DP04 + ACS5 (national)
47224-2024,ZCTA 47224,47224,US,38.89044,-85.227992,STOCKOUT_RISK,40,274.21,109,51,60.22,28.18,-4.39,292.31,42.52,1051.0,ACS DP04 + ACS5 (national)
64019-2024,ZCTA 64019,64019,US,38.777543,-93.865283,STOCKOUT_RISK,76,273.9,926,65,79.28,5.57,1.09,306.25,12.42,756.0,ACS DP04 + ACS5 (national)
12791-2024,ZCTA 12791,12791,US,41.817275,-74.89287,STOCKOUT_RISK,40,272.45,272,91,61.4,20.54,44.68,264.0,34.24,787.0,ACS DP04 + ACS5 (national)
61812-2024,ZCTA 61812,61812,US,40.209777,-87.926661,STOCKOUT_RISK,40,267.14,103,23,74.64,16.67,7.29,283.33,20.0,1010.0,ACS DP04 + ACS5 (national)
99726-2024,ZCTA 99726,99726,US,66.75531,-151.414738,STOCKOUT_RISK,40,266.59,9,11,22.5,27.5,12.5,266.67,42.86,1304.0,ACS DP04 + ACS5 (national)
25107-2024,ZCTA 25107,25107,US,38.237957,-81.676172,STOCKOUT_RISK,40,264.95,142,29,62.01,12.66,-21.11,314.29,-18.51,586.0,ACS DP04 + ACS5 (national)
45727-2024,ZCTA 45727,45727,US,39.645643,-81.478612,STOCKOUT_RISK,40,262.82,224,66,69.78,20.56,-6.28,288.24,12.24,483.0,ACS DP04 + ACS5 (national)
22610-2024,ZCTA 22610,22610,US,38.824656,-78.279143,STOCKOUT_RISK,56,262.64,691,73,76.69,8.1,1.02,284.21,8.55,1301.0,ACS DP04 + ACS5 (national)
43111-2024,ZCTA 43111,43111,US,39.502067,-82.2427,STOCKOUT_RISK,40,261.62,61,102,37.42,62.58,177.27,112.5,132.86,987.0,ACS DP04 + ACS5 (national)
38460-2024,ZCTA 38460,38460,US,35.101157,-87.159372,STOCKOUT_RISK,51,259.9,678,107,81.1,12.8,-2.02,282.14,9.28,744.0,ACS DP04 + ACS5 (national)
58643-2024,ZCTA 58643,58643,US,46.216746,-103.959692,STOCKOUT_RISK,40,259.15,52,19,54.74,20.0,1.96,280.0,2.15,513.0,ACS DP04 + ACS5 (national)
41503-2024,ZCTA 41503,41503,US,37.66069,-82.284318,STOCKOUT_RISK,40,259.14,113,126,40.94,45.65,16.49,250.0,38.69,723.0,ACS DP04 + ACS5 (national)
50609-2024,ZCTA 50609,50609,US,42.228377,-92.809466,STOCKOUT_RISK,40,254.87,155,19,80.31,9.84,-7.74,280.0,1.58,785.0,ACS DP04 + ACS5 (national)
49791-2024,ZCTA 49791,49791,US,45.481006,-84.599373,STOCKOUT_RISK,40,253.0,68,11,25.66,4.15,1.49,266.67,5.16,1750.0,ACS DP04 + ACS5 (national)
62928-2024,ZCTA 62928,62928,US,37.475405,-88.567239,STOCKOUT_RISK,40,249.15,26,32,39.39,48.48,0.0,255.56,3.12,492.0,ACS DP04 + ACS5 (national)
44659-2024,ZCTA 44659,44659,US,40.6948,-81.701825,STOCKOUT_RISK,40,246.94,33,28,54.1,45.9,32.0,211.11,52.5,1125.0,ACS DP04 + ACS5 (national)
27923-2024,ZCTA 27923,27923,US,36.368236,-75.930826,STOCKOUT_RISK,40,244.35,229,72,70.25,22.09,-0.87,242.86,20.74,1600.0,ACS DP04 + ACS5 (national)
70658-2024,ZCTA 70658,70658,US,30.521695,-93.036234,STOCKOUT_RISK,40,242.96,254,57,55.82,12.53,18.14,235.29,19.42,649.0,ACS DP04 + ACS5 (national)
39456-2024,ZCTA 39456,39456,US,31.030633,-88.827676,STOCKOUT_RISK,40,242.28,406,56,64.14,8.85,65.04,194.74,46.53,777.0,ACS DP04 + ACS5 (national)
46039-2024,ZCTA 46039,46039,US,40.370181,-86.311698,STOCKOUT_RISK,40,241.61,186,36,76.54,14.81,17.72,227.27,28.57,1092.0,ACS DP04 + ACS5 (national)
38839-2024,ZCTA 38839,38839,US,33.855572,-89.284062,STOCKOUT_RISK,40,241.42,6,29,17.14,82.86,-66.67,262.5,34.62,773.0,ACS DP04 + ACS5 (national)
14614-2024,ZCTA 14614,14614,US,43.157614,-77.614742,STOCKOUT_RISK,40,241.23,16,170,8.51,90.43,300.0,25.0,32.39,1394.0,ACS DP04 + ACS5 (national)
65771-2024,ZCTA 65771,65771,US,36.774833,-93.204208,STOCKOUT_RISK,40,239.22,403,130,65.74,21.21,-8.2,242.11,11.25,1549.0,ACS DP04 + ACS5 (national)
26374-2024,ZCTA 26374,26374,US,39.452313,-79.875295,STOCKOUT_RISK,40,238.21,571,79,84.34,11.67,-16.76,259.09,-7.89,634.0,ACS DP04 + ACS5 (national)
67556-2024,ZCTA 67556,67556,US,38.604619,-99.520035,STOCKOUT_RISK,40,235.84,126,19,67.02,10.11,27.27,216.67,22.08,539.0,ACS DP04 + ACS5 (national)
63654-2024,ZCTA 63654,63654,US,37.487151,-90.857524,STOCKOUT_RISK,40,234.33,309,30,68.67,6.67,8.8,233.33,1.81,675.0,ACS DP04 + ACS5 (national)
41651-2024,ZCTA 41651,41651,US,37.467149,-82.755277,STOCKOUT_RISK,40,233.8,13,126,7.74,75.0,44.44,162.5,88.76,255.0,ACS DP04 + ACS5 (national)
66941-2024,ZCTA 66941,66941,US,39.830775,-98.447992,STOCKOUT_RISK,40,233.64,63,26,47.01,19.4,8.62,225.0,13.56,600.0,ACS DP04 + ACS5 (national)
24378-2024,ZCTA 24378,24378,US,36.694311,-81.419636,STOCKOUT_RISK,48,233.52,443,70,50.86,8.04,-0.67,233.33,10.11,949.0,ACS DP04 + ACS5 (national)
56581-2024,ZCTA 56581,56581,US,47.462333,-96.761827,STOCKOUT_RISK,40,231.12,105,17,57.07,9.24,-11.76,240.0,0.0,810.0,ACS DP04 + ACS5 (national)
17880-2024,ZCTA 17880,17880,US,40.891097,-77.123864,STOCKOUT_RISK,40,229.2,0,10,0.0,100.0,0.0,150.0,150.0,1125.0,ACS DP04 + ACS5 (national)
13780-2024,ZCTA 13780,13780,US,42.422485,-75.476583,STOCKOUT_RISK,40,229.07,262,116,39.46,17.47,-10.88,222.22,20.07,1750.0,ACS DP04 + ACS5 (national)
64667-2024,ZCTA 64667,64667,US,40.400409,-93.34476,STOCKOUT_RISK,40,228.54,98,19,50.78,9.84,8.89,216.67,18.4,500.0,ACS DP04 + ACS5 (national)
95697-2024,ZCTA 95697,95697,US,38.732881,-121.807195,STOCKOUT_RISK,40,227.17,0,201,0.0,100.0,0.0,145.12,145.12,1803.0,ACS DP04 + ACS5 (national)
68943-2024,ZCTA 68943,68943,US,40.031109,-97.887306,STOCKOUT_RISK,40,225.56,76,34,52.78,23.61,2.7,209.09,25.22,529.0,ACS DP04 + ACS5 (national)
99743-2024,ZCTA 99743,99743,US,63.926835,-149.9883,STOCKOUT_RISK,40,225.16,206,57,37.12,10.27,-17.93,235.29,-3.98,575.0,ACS DP04 + ACS5 (national)
71674-2024,ZCTA 71674,71674,US,33.826243,-91.181163,STOCKOUT_RISK,40,224.81,232,41,66.1,11.68,2.65,215.38,10.03,742.0,ACS DP04 + ACS5 (national)
40807-2024,ZCTA 40807,40807,US,36.96402,-82.955591,STOCKOUT_RISK,40,224.76,225,59,70.09,18.38,4.65,210.53,14.64,769.0,ACS DP04 + ACS5 (national)
